"(Intercept)" "PC1" "PC2" "PC3" "df" "logLik" "AICc" "delta" "weight" "resu.from"
"m5...1" -1.37661682941215 -0.0226052826517697 -0.0700554683833529 -0.0465592520718252 5 -6.62467570083258 23.7621719144857 0 0.354735386815635 "total.model"
"m7...2" -1.37661682941215 NA -0.0700554683833529 -0.0465592520718251 4 -7.7970920411447 23.9331671331369 0.170995218651186 0.325666715380778 "total.model"
"m4...3" -1.37661682941215 -0.0226052826517697 -0.0700554683833529 NA 4 -8.49639547718381 25.3317740052151 1.5696020907294 0.16183399326755 "total.model"
"m2...4" -1.37661682941215 NA -0.0700554683833529 NA 3 -9.63399047825808 25.4696616287851 1.7074897142994 0.151052470790465 "total.model"
"m3...5" -1.37661682941215 NA NA -0.0465592520718252 3 -13.8673307610453 33.9363421943595 10.1741702798738 0.00219084427305089 "total.model"
"m6...6" -1.37661682941215 -0.0226052826517697 NA -0.0465592520718252 4 -12.8060643999676 33.9511118507827 10.188939936297 0.00217472485727119 "total.model"
"m0...7" -1.37661682941215 NA NA NA 2 -15.5338994202168 35.1677988404335 11.4056269259478 0.00118359765382917 "total.model"
"m1...8" -1.37661682941215 -0.0226052826517697 NA NA 3 -14.5012453683011 35.2041714088712 11.4419994943855 0.00116226696142108 "total.model"
"m2...9" -1.33052068564738 NA 0.0937697448849206 NA 3 -4.50246902082782 15.3631469968795 0 0.394024766514051 "understory.model"
"m7...10" -1.33052068564738 NA 0.0937697448849206 0.0374911137226023 4 -3.79600750552003 16.1980756171007 0.834928620221154 0.259550024426585 "understory.model"
"m4...11" -1.33052068564738 -0.0187602032553134 0.0937697448849206 NA 4 -4.0089689344495 16.6239984749596 1.2608514780801 0.209765035860992 "understory.model"
"m5...12" -1.33052068564738 -0.0187602032553134 0.0937697448849206 0.0374911137226022 5 -3.29251756585846 17.5081120547938 2.14496505791432 0.134818743768279 "understory.model"
"m0...13" -1.33052068564738 NA NA NA 2 -11.8300867324409 27.8366440531171 12.4734970562376 0.000770793510521995 "understory.model"
"m3...14" -1.33052068564738 NA NA 0.0374911137226022 3 -11.2564526103967 28.8711141760173 13.5079671791378 0.000459521373731816 "understory.model"
"m1...15" -1.33052068564738 -0.0187602032553134 NA NA 3 -11.42914731661 29.2165035884438 13.8533565915643 0.00038663873265734 "understory.model"
"m6...16" -1.33052068564738 -0.0187602032553134 NA 0.0374911137226023 4 -10.8489442758935 30.3039491578477 14.9408021609682 0.000224475813181526 "understory.model"
"m6...17" -1.43955579493714 -0.0384081020959226 NA -0.104800182868089 4 6.54458937764668 -4.23811492550614 0 0.533943793936353 "canopy.model"
"m3...18" -1.43955579493714 NA NA -0.104800182868089 3 4.47462770539705 -2.4492554107941 1.78885951471204 0.218297938757337 "canopy.model"
"m5...19" -1.43955579493714 -0.0384081020959226 0.0073981209334474 -0.104800182868089 5 6.58077061054624 -1.85719339500553 2.38092153050061 0.162362227821574 "canopy.model"
"m7...20" -1.43955579493714 NA 0.0073981209334474 -0.104800182868089 4 4.50803831079034 -0.165012791793449 4.07310213371269 0.0696678892205694 "canopy.model"
"m1...21" -1.43955579493714 -0.0384081020959226 NA NA 3 1.11392931595834 4.27214136808331 8.51025629358945 0.00757734164611351 "canopy.model"
"m0...22" -1.43955579493714 NA NA NA 2 -0.578240099430017 5.40137815804371 9.63949308354984 0.00430830276632678 "canopy.model"
"m4...23" -1.43955579493714 -0.0384081020959226 0.00739812093344737 NA 4 1.14328651537648 6.56449079903427 10.8026057245404 0.00240846042689105 "canopy.model"
"m2...24" -1.43955579493714 NA 0.00739812093344737 NA 3 -0.550733697178811 7.60146739435762 11.8395823198638 0.00143404542483532 "canopy.model"
